
2024/10/14 (05:40:15) | ===> btop++ v.1.4.0
2024/10/14 (05:40:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (06:16:33) | ===> btop++ v.1.4.0
2024/10/14 (06:16:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (19:20:17) | ===> btop++ v.1.4.0
2024/10/14 (19:20:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (21:06:39) | ===> btop++ v.1.4.0
2024/10/20 (21:06:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (01:43:22) | ===> btop++ v.1.4.0
2024/11/17 (01:43:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (01:44:26) | ===> btop++ v.1.4.0
2024/11/17 (01:44:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (01:45:16) | ===> btop++ v.1.4.0
2024/11/17 (01:45:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (01:53:40) | ===> btop++ v.1.4.0
2024/11/17 (01:53:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (03:11:54) | ===> btop++ v.1.4.0
2024/11/17 (03:11:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (03:19:01) | ===> btop++ v.1.4.0
2024/11/17 (03:19:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (03:21:37) | ===> btop++ v.1.4.0
2024/11/17 (03:21:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (08:38:10) | ===> btop++ v.1.4.0
2024/11/20 (08:38:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (09:39:39) | ===> btop++ v.1.4.0
2024/11/20 (09:39:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (13:18:17) | ===> btop++ v.1.4.0
2024/11/20 (13:18:17) | WARNING: Intel GPU: Failed to initialize PMU
